episode_return,episode_length,loss,epsilon,avg_q
10.000000,10,1.339816,0.114450,5.393155
10.000000,10,8.084911,0.113410,5.425589
10.000000,10,0.782376,0.112381,5.412426
10.000000,10,1.305184,0.111363,5.448875
10.000000,10,0.929845,0.110354,5.430645
10.000000,10,0.685800,0.109356,5.415646
10.000000,10,3.001974,0.108367,5.436835
10.000000,10,2.279576,0.107388,5.466998
10.000000,10,8.024094,0.106419,5.455983
10.000000,10,2.435151,0.105460,5.477733
10.000000,10,1.708359,0.104510,5.547858
10.000000,10,2.432204,0.103570,5.538584
10.000000,10,13.462937,0.102639,5.546589
10.000000,10,2.715137,0.101717,5.489825
10.000000,10,8.064762,0.100804,5.540321
10.000000,10,2.303848,0.099901,5.593279
10.000000,10,7.594530,0.099006,5.672955
10.000000,10,13.244032,0.098120,5.675550
10.000000,10,1.571193,0.097244,5.662471
10.000000,10,2.049215,0.096376,5.691813
10.000000,10,1.664879,0.095516,5.725267
10.000000,10,13.658158,0.094665,5.766046
10.000000,10,0.938502,0.093823,5.742898
10.000000,10,7.685065,0.092989,5.735686
10.000000,10,13.563362,0.092163,5.702558
10.000000,10,7.048003,0.091345,5.639259
10.000000,10,12.315166,0.090536,5.597067
10.000000,10,1.941972,0.089735,5.516117
10.000000,10,6.189454,0.088941,5.537272
10.000000,10,2.627925,0.088156,5.514629
10.000000,10,1.740854,0.087378,5.444440
10.000000,10,2.663353,0.086608,5.413347
10.000000,10,3.133398,0.085846,5.431992
10.000000,10,1.370606,0.085091,5.434012
10.000000,10,0.819086,0.084344,5.488704
10.000000,10,0.765687,0.083604,5.565598
10.000000,10,1.945140,0.082872,5.605831
10.000000,10,1.659726,0.082147,5.631115
10.000000,10,1.444013,0.081429,5.626729
10.000000,10,1.468478,0.080718,5.653196
10.000000,10,1.172246,0.080015,5.692795
10.000000,10,0.955572,0.079318,5.737164
10.000000,10,0.956926,0.078628,5.794947
10.000000,10,16.276598,0.077945,5.794154
10.000000,10,1.167858,0.077269,5.745527
10.000000,10,1.249294,0.076600,5.727994
10.000000,10,1.550555,0.075937,5.721634
10.000000,10,1.677519,0.075281,5.721982
10.000000,10,14.723230,0.074632,5.717793
10.000000,10,2.885786,0.073989,5.716314
10.000000,10,8.038012,0.073352,5.692404
10.000000,10,1.671184,0.072722,5.638853
10.000000,10,7.863148,0.072097,5.670744
10.000000,10,1.635317,0.071480,5.662732
10.000000,10,2.734707,0.070868,5.664875
10.000000,10,1.586457,0.070262,5.660586
10.000000,10,1.500059,0.069663,5.719895
10.000000,10,0.872507,0.069069,5.743564
10.000000,10,14.156445,0.068481,5.741056
10.000000,10,3.810548,0.067899,5.693727
10.000000,10,7.976334,0.067323,5.700629
10.000000,10,0.591863,0.066753,5.739048
10.000000,10,8.267823,0.066188,5.737104
10.000000,10,0.691859,0.065629,5.676016
10.000000,10,14.855342,0.065075,5.641453
10.000000,10,1.050300,0.064527,5.592781
10.000000,10,1.477998,0.063985,5.595016
10.000000,10,7.918972,0.063448,5.563359
10.000000,10,1.026153,0.062916,5.546437
10.000000,10,8.074421,0.062389,5.551602
10.000000,10,1.175962,0.061868,5.514187
10.000000,10,7.937877,0.061352,5.459188
10.000000,10,1.167090,0.060841,5.383929
10.000000,10,1.658033,0.060335,5.366597
10.000000,10,1.003313,0.059834,5.371371
10.000000,10,1.293701,0.059339,5.367903
10.000000,10,1.834261,0.058848,5.420486
10.000000,10,8.039689,0.058362,5.442725
10.000000,10,1.721858,0.057880,5.426613
10.000000,10,9.057496,0.057404,5.439220
10.000000,10,0.822071,0.056932,5.478312
10.000000,10,2.055332,0.056465,5.506478
10.000000,10,8.502027,0.056003,5.535176
10.000000,10,1.365473,0.055545,5.534550
10.000000,10,8.059926,0.055092,5.541472
10.000000,10,7.814308,0.054643,5.531234
10.000000,10,1.594517,0.054199,5.512664
10.000000,10,8.239893,0.053759,5.553020
10.000000,10,8.062635,0.053324,5.592141
10.000000,10,0.765957,0.052893,5.604822
10.000000,10,8.704890,0.052466,5.568306
10.000000,10,1.162417,0.052044,5.568254
10.000000,10,0.836621,0.051625,5.595127
10.000000,10,1.314652,0.051211,5.633012
10.000000,10,0.608118,0.050801,5.588195
10.000000,10,0.642266,0.050395,5.558825
10.000000,10,1.788896,0.049993,5.481868
10.000000,10,0.903835,0.049595,5.455125
10.000000,10,1.541903,0.049201,5.482863
10.000000,10,0.551331,0.048811,5.522660
10.000000,10,0.703186,0.048425,5.481955
10.000000,10,7.136071,0.048043,5.387131
10.000000,10,13.936116,0.047664,5.339596
10.000000,10,2.030256,0.047289,5.335819
10.000000,10,1.787207,0.046918,5.318191
10.000000,10,6.946786,0.046551,5.307459
10.000000,10,2.464031,0.046187,5.292508
10.000000,10,1.834565,0.045827,5.272983
10.000000,10,1.844962,0.045471,5.267975
10.000000,10,2.296399,0.045118,5.295363
10.000000,10,8.972820,0.044768,5.364058
10.000000,10,0.628061,0.044422,5.386644
10.000000,10,0.711312,0.044080,5.379569
10.000000,10,0.216997,0.043741,5.417665
10.000000,10,9.158071,0.043405,5.434359
10.000000,10,0.353859,0.043073,5.398446
10.000000,10,0.736285,0.042744,5.358443
10.000000,10,0.888182,0.042418,5.296612
10.000000,10,1.121078,0.042095,5.292959
10.000000,10,11.481184,0.041776,5.286137
10.000000,10,1.116106,0.041460,5.234754
10.000000,10,7.552446,0.041147,5.228557
